pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,pl_pubdate
WASP-166 b,WASP-166,5.44354,4.e-6,-4.e-6,0,0.0641,0.0011,-0.0011,0,0.63,0.03,-0.03,0,0.101,0.005,-0.005,0,0.54,0.09,-0.09,0,0.,,,0,1270,30,-30,0,6050.,50.,-50.,0,1.22,0.06,-0.06,0,1.19,0.06,-0.06,0,0.19,0.05,-0.05,0,[Fe/H],2.1,0.9,-0.9,0,0.92,0.14,-0.14,0,2019-09
WASP-139 b,WASP-139,5.924262,4.e-6,-4.e-6,0,0.062,0.002,-0.002,0,0.8,0.05,-0.05,0,0.117,0.017,-0.017,0,0.31,0.05,-0.05,0,0.,,,0,910,30,-30,0,5310.,90.,-90.,0,0.8,0.04,-0.04,0,0.92,0.1,-0.1,0,0.2,0.09,-0.09,0,[Fe/H],0.5,,,-1,2.5,0.3,-0.3,0,2017-03
HATS-7 b,HATS-7,3.185315,5.4e-6,-5.4e-6,0,0.04012,0.00043,-0.00043,0,0.563,0.046,-0.034,0,0.12,0.012,-0.012,0,0.83,0.18,-0.18,0,0.17,,,1,1084,32,-32,0,4985.,50.,-50.,0,0.81,0.05,-0.04,0,0.85,0.03,-0.03,0,0.25,0.08,-0.08,0,[Fe/H],7.8,5.,-5.,0,2.22,0.33,-0.33,0,2015-11
WASP-107 b,WASP-107,5.72149,2.e-6,-2.e-6,0,0.055,0.001,-0.001,0,0.94,0.02,-0.02,0,0.12,0.01,-0.01,0,0.19,0.03,-0.03,0,0.,,,0,770,60,-60,0,4430.,120.,-120.,0,0.66,0.02,-0.02,0,0.69,0.05,-0.05,0,0.02,0.1,-0.1,0,[Fe/H],,,,,3.45,0.07,-0.07,0,2017-08
K2-39 b,K2-39,4.60497,0.00077,-0.00077,0,0.0574,0.0012,-0.0012,0,0.509,0.056,-0.056,0,0.12522,0.01384,-0.01384,0,1.17,0.47,-0.32,0,0.152,0.084,-0.068,0,1670,54,-54,0,4912.,60.,-60.,0,2.93,0.21,-0.21,0,1.19,0.09,-0.07,0,0.43,0.04,-0.04,0,[Fe/H],6.7,1.7,-1.3,0,,,,,2017-04
HATS-72 b,HATS-72,7.3279474,1.6e-6,-1.6e-6,0,0.066517,0.000085,-0.000085,0,0.722,0.003,-0.003,0,0.1254,0.0039,-0.0039,0,0.411,0.015,-0.01,0,0.013,,,1,739,2,-2,0,4656.1,8.9,-8.9,0,0.72,0.,0.,0,0.73,0.,0.,0,0.099,0.014,-0.014,0,[Fe/H],12.17,0.24,-0.45,0,2.743,0.02,-0.02,0,2020-04
WASP-156 b,WASP-156,3.836169,3.e-6,-3.e-6,0,0.0453,0.0009,-0.0009,0,0.51,0.02,-0.02,0,0.128,0.01,-0.009,0,1.3,0.1,-0.1,0,0.007,,,1,970,30,-20,0,4910.,61.,-61.,0,0.76,0.03,-0.03,0,0.84,0.05,-0.05,0,0.24,0.12,-0.12,0,[Fe/H],6.4,4.,-4.,0,2.68,0.14,-0.42,0,2018-03
HATS-8 b,HATS-8,3.583893,0.00001,-0.00001,0,0.04667,0.00055,-0.00055,0,0.873,0.123,-0.075,0,0.138,0.019,-0.019,0,0.259,0.091,-0.091,0,0.376,,,1,1324,79,-38,0,5679.,50.,-50.,0,1.09,0.15,-0.06,0,1.06,0.04,-0.04,0,0.21,0.08,-0.08,0,[Fe/H],5.1,1.7,-1.7,0,1.15,0.21,-0.35,0,2015-08
WASP-182 b,WASP-182,3.3769848,2.4e-6,-2.4e-6,0,0.0451,0.0009,-0.0009,0,0.85,0.03,-0.03,0,0.148,0.011,-0.011,0,0.318,0.058,-0.058,0,0.,,,0,1479,34,-34,0,5638.,100.,-100.,0,1.34,0.03,-0.03,0,1.08,0.06,-0.06,0,0.27,0.11,-0.11,0,[Fe/H],5.952,2.684,-2.684,0,0.636,0.058,-0.058,0,2019-10
CoRoTID 223977153 b,CoRoTID 223977153,6.71837,0.00001,-0.00001,0,0.071,0.001,-0.001,0,0.57,0.06,-0.05,0,0.15,0.1,-0.1,0,1.1,1.3,-0.8,0,,,,,938,65,-52,0,5970.,100.,-100.,0,0.79,0.08,-0.09,0,1.08,0.08,-0.07,0,0.,0.2,-0.2,0,[Fe/H],,,,,,,,,2018-01
